datasetID,handle,site,long,lat,state,pi,pre1.d,pre1,pre2,pre3,pre4,un1,un2,un3,un4,notes1,notes2,notes3,notes4
3620,SEIDEL02,Seidel,-87.515556,44.45,wisconsin,"Maher, Louis J., Jr.",40 cm,3,3,3,3,1,,,,Not a lot of data here,,,
2375,SHAGAWA,Shagawa Lake,-91.866667,47.916667,minnesota,"Bradbury, J. Platt",40 cm,13,12,13,14,,,,,Major disturbance starts afterward,,,
13029,SHARKEY,Sharkey Lake,-93.4148,44.5939,minnesota,"Umbanhowar, Charles E., Jr.",1610.5 cm,9,-1,9,-1,1,,,1,Resolutions confusing.,,,nothing
2383,SILVERMN,Silver Lake (US:Minnesota),-94.2,44.9,minnesota,"McAndrews, John H.",60 cm,6,7,7,7,1,,,,"Also tempted by 70 cm, hard to call.",,,
2394,SISEEBA,Siseebakwet South,-93.683333,47.133333,minnesota,"Cushing, Edward J.",40 cm,3,2,3,-1,1,,,1,Low resolution.,,,nothing
2581,SOLUM,Solum Lake,-96.25,46.662222,minnesota,"McAndrews, John H.",40 cm,5,5,5,5,,,1,,"Ambrosia rise, decline of sedges, poa and pinus, rise off chenopods.",,Possibly 3,
2584,SOSTANCH,South Stanchfield Lake,-93.466667,45.725,minnesota,"McAndrews, John H.",20 cm,3,3,4,4,1,1,1,,I am also tempted by 50 cm.,high UC,Pegged to Pinus decline and Poaceae rise,
10970,SOUHERON,South Heron Lake,-95.27,43.75,minnesota,"Cushing, Edward J.",30 cm,2,3,3,-1,1,,,1,not a lot of data here,,,nothing
2585,SPECTACL,Spectacle Lake,-93.408333,45.572222,minnesota,"McAndrews, John H.",40 cm,5,5,5,5,,,,,Basing this on Ambrosia rise. Declines in Betula and Ostrya.,,,
2586,SPIRIT,Spirit Lake (US:Michigan),-86.958333,46.47,michigan:north,"Davis, Margaret B.",20 cm,10,9,9,10,1,,1,,Basing this on Ambrosia rise. I wish there were more data points in this area as I think the exact rise might have been missed.,,Possibly 8 - 11,
2600,STCATHER,St. Catherines Lake,-93.4325,44.626944,minnesota,"McAndrews, John H.",50 cm,5,5,5,6,,,,,"Basing this on Ambrosia, Poaceae and Cheno rise. Decline in Quercus ",,,
2605,STONE,Stone Lake,-93.522222,45.4,minnesota,"McAndrews, John H.",20 cm,3,3,4,4,,,,,Basing this on Ambrosia rise.,,,
2607,STONTAM1,Stone Lake Tamarack Swamp,-93.691667,44.891667,minnesota,"Swain, Patricia C.",120 cm,6,-1,5,-1,,1,1,1,"Basing this on Ambrosia rise. Also big changes in Poa, sedges and Quercus",,"Discard?   Heavy abundances of Poaceae, Cyperaceae suggest that this is a swamp.",nothing
3780,STONTAM2,Stone Lake Tamarack Swamp,-93.691667,44.891667,minnesota,"Swain, Patricia C.",,-1,-1,3,-1,1,1,1,1,Don't see any Ambrosia rise here. I give up. Have discusion about whether need clear Ambrosia rise to be included?,,"Could  be 6.  Lots of Cyperaceae, presubmably because of  marsh",nothing
3781,STWDARK2,Stewart's Dark Lake,-91.45,45.3,wisconsin,"Peters, M. A.",,-1,-1,-1,-1,1,1,1,1,Don't see any Ambrosia rise here. I give up.,,No settlement signal seen.,nothing
2613,SUNFISH,Sunfish Lake,-93.1,44.874722,minnesota,"McAndrews, John H.",40 cm,5,5,5,5,,,,,"Basing this on Ambrosia, Rumex and Poaceae rises. Decline of Pinus",,,
2624,TAMARACK,Tamarack Creek,-91.45,44.15,wisconsin,"Davis, Anthony M.",13 cm,3,3,3,3,,,,,Basing this on Ambrosia rise.,,,
2638,TERHELL,Terhell Pond,-95.770556,47.187778,minnesota,"McAndrews, John H.",40 cm,4,4,4,5,,,1,,Basing this on Ambrosia rise.,,Possibly 7,
3784,THIRDLK,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",184 cm,4,4,3,4,,,1,,Basing this on Ambrosia rise.,,Possibly 7,
2640,THOMPSON,Thompson,-96.083333,47.2,minnesota,"McAndrews, John H.",30 cm,4,3,4,4,1,,,,Basing this on Ambrosia rise. Tempted by 20 cm as well. Biased because McAndrews discarded coretops,,,
3786,THRDBGN,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",40 cm,7,7,7,7,1,,,,"Basing this on Ambrosia rise. But this is tricky because of the wild shifts in Ericaceae, sphagnum and pine.",,,
3788,THRDBGW,Third Lake,-92.016667,48.108333,minnesota,"Swain, Patricia C.",60 cm,10,10,10,11,,,1,,Basing this on Ambrosia rise.,,This  record is a little crazy - bounces all over the place.,
2648,TOENJES,Toenjes Lake,-93.981389,45.409722,minnesota,"McAndrews, John H.",60 cm,7,7,7,7,,,,,Basing this on Ambrosia and Poaceae rises.,,,
2881,TWINMN1,Twin Lakes,-93.167778,45.848889,minnesota,"McAndrews, John H.",50 cm,6,5,6,7,,,,,Basing this on Ambrosia rise. Could also be 30 cm but seem to have exceeded downcore variability by here.,,,
12015,UNION,Union Lake,-95.3484,45.8207,minnesota,"Cushing, Edward J.",45 cm,7,7,7,8,,,,,Based on Ambrosia rise and Ostrya decline.,,,
2888,UPGRAVEN,Upper Graven Lake,-95.306944,46.184444,minnesota,"Almquist-Jacobson, Heather",160 cm,3,3,3,3,,,,1,Basing this on Ambrosia rise.,,,pretty rough record
3831,VESTABRG,Vestaburg Bog,-84.883333,43.416667,michigan:south,"Gilliam, Jeanne A.",618 cm,9,9,9,9,,,,,Basing this on Ambrosia rise. Very clear.,,,
15882,WARNER,Warner,-92.039,46.121,wisconsin,M. Tweiten,38.5 cm,9,6,9,7,1,,,,I am also tempted by 29.5 but it looks to me that the Ambrosia rise is exceeding natural variability earlier.,,,
3837,WEBERLK,Weber Lake,-91.66,47.471667,minnesota,"Fries, Magnus",60 cm,4,-1,4,-1,1,1,1,,"Basing this on Ambrosia rise and decline of Pinus. Not hugely confident, don't know this area.",,I've seen better.,nothing
2948,WENTZEL,Wentzel's Pond,-94.95,46.95,minnesota,"Almendinger, John C.",55 cm,5,5,5,5,,,,,Basing this on Ambrosia rise.,,,
13051,WESTOLAF,West Olaf Lake,-96.198,46.6043,minnesota,"Nelson, David M.",120 cm,4,-1,5,5,,1,1,,"Basing this on Ambrosia rise. After running on instinct for awhile, I realize that I'm picking the last point in the Ambrosia rise that's still within downcore variability and picking that as presettlement.",,Possibly 7,
2952,WHITLIL1,White Lily Lake,-93.102778,46.086111,minnesota,"McAndrews, John H.",30 cm,4,4,7,5,,,,,"Basing this on Ambrosia, Rumex and Poaceae rises. McAndrews discarded much of coretop usually.",,,
2961,WINTERGR,Wintergreen Lake,-85.383333,42.4,michigan:south,"Bailey, Robert E.",63 cm,14,15,15,15,,,,,Basing this on Ambrosia rise.,,Really nice Rumex signal.  Possibly 17,
3031,WOLSFELD,Wolsfeld Lake,-93.577,45.008,minnesota,"Grimm, Eric Christopher",710 cm,7,8,8,9,,,1,,Basing this on Ambrosia rise.,,7 to 9,
3032,WOLVERIN,Wolverine Lake,-85.661111,46.429167,michigan:north,"Futyma, Richard P.",15 cm,4,4,4,4,,1,1,,"Basing this on Ambrosia, Rumex and Poaceae rises.",,Only 5 samples,
3035,WOODLAKE,Wood Lake,-90.083333,45.333333,wisconsin,"Heide, Kathleen M.",100 cm,4,4,4,4,,,,,Confident given the few samples there is no choice here really.,,,
3047,YELLOWDG,Yellow Dog Pond,-87.95,46.75,michigan:north,"Brubaker, Linda B.",,-1,2,-1,-1,1,1,1,1,Too little data to use in my opinion.,,"Discard?  Can't tell - no clear signal, only 3 samples.",nothing
12012,ZIEBELL,Ziebell Lake,-95.2663,46.0572,minnesota,"Cushing, Edward J.",50 cm,9,9,7,10,1,,,,"I'm hesitating between 35 and 50, but after 50 ulmus increases and betula and ostrya decline which also go on this immediate region with settlement",,,
